,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
0,1,Austin Wells*,24,C,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,.229,.322,.395,.718,103,.318,104,140,9,5,1,7,0,*2H/D,ROY-3,NYY
1,2,Anthony Rizzo*,34,1B,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,.228,.301,.335,.637,81,.297,88,113,7,9,0,2,0,3/H,,NYY
2,3,Gleyber Torres,27,2B,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,.257,.330,.378,.709,101,.318,103,222,6,3,2,8,0,*4/H,,NYY
3,4,Anthony Volpe,23,SS,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,.243,.293,.364,.657,86,.296,84,232,9,4,2,3,1,*6/H,,NYY
4,5,Oswaldo Cabrera#,25,3B,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,.247,.296,.365,.661,87,.300,90,109,6,1,2,3,0,5H34/6791,,NYY
5,6,Alex Verdugo*,28,LF,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,.233,.291,.356,.647,83,.288,81,199,14,1,2,10,0,*79/8,,NYY
6,7,Aaron Judge,32,CF,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,223,.484,223,392,22,9,0,2,20,*8D/97,"AS,MVP-1,SS",NYY
7,8,Juan Soto*,25,RF,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,.288,.419,.569,.989,178,.424,179,328,10,4,0,4,2,*9/7DH,"AS,MVP-3,SS",NYY
8,9,Giancarlo Stanton,34,DH,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,.233,.298,.475,.773,115,.330,112,198,17,2,0,2,2,*D/H,,NYY
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,NYY
10,10,Jose Trevino,31,C,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,.215,.288,.354,.642,81,.287,80,74,12,2,1,2,0,2/H1,,NYY
11,11,DJ LeMahieu,35,CI,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,.204,.269,.259,.527,51,.244,51,52,13,1,1,6,0,35/H,,NYY
12,12,Trent Grisham*,27,CF,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,.190,.290,.385,.675,90,.306,95,69,5,4,1,2,1,8H/D,,NYY
13,13,Jazz Chisholm Jr.*,26,3B,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,.273,.325,.500,.825,130,.373,130,88,2,0,0,1,0,5/8,,NYY
14,14,Ben Rice*,25,1B,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,.171,.264,.349,.613,72,.275,74,53,2,1,0,5,0,3/H2,,NYY
15,15,Jon Berti,34,3B,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,.273,.342,.318,.661,90,.334,108,21,2,1,1,0,0,5/H47D,,NYY
16,16,Jasson DomÃ­nguez#,21,OF,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,.179,.313,.304,.617,77,.315,88,17,0,0,0,0,0,7/8HD,,NYY
17,17,Jahmai Jones,26,UT,0.0,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,93,.293,89,16,0,2,1,0,0,H/9D745,,NYY
