,Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Team,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
0,1.0,Kyle Schwarber*,31.0,4,19.0,16.0,2,2,0.0,0.0,1,1.0,0.0,0.0,2,6,0.125,0.263,0.313,0.576,5.0,1.0,1,0.0,0.0,0,/*D,,PHI,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,Trea Turner,31.0,4,17.0,15.0,2,3,0.0,0.0,0,0.0,2.0,0.0,2,5,0.2,0.294,0.2,0.494,3.0,0.0,0,0.0,0.0,0,/*6,,PHI,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,Nick Castellanos,32.0,4,17.0,17.0,2,7,1.0,0.0,1,3.0,0.0,0.0,0,3,0.412,0.412,0.647,1.059,11.0,0.0,0,0.0,0.0,0,*/9,,PHI,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,Bryce Harper*,31.0,4,17.0,12.0,3,4,2.0,0.0,1,3.0,0.0,0.0,5,5,0.333,0.529,0.75,1.279,9.0,0.0,0,0.0,0.0,0,/*3,,PHI,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,J.T. Realmuto,33.0,4,16.0,11.0,1,0,0.0,0.0,0,1.0,0.0,0.0,3,4,0.0,0.313,0.0,0.313,0.0,0.0,2,0.0,0.0,0,/*2,,PHI,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,Alec Bohm,27.0,4,14.0,13.0,0,1,0.0,0.0,0,0.0,0.0,0.0,1,0,0.077,0.143,0.077,0.22,1.0,0.0,0,0.0,0.0,0,/*5H,,PHI,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,Bryson Stott*,26.0,4,13.0,11.0,1,2,0.0,1.0,0,2.0,0.0,1.0,2,4,0.182,0.308,0.364,0.671,4.0,0.0,0,0.0,0.0,0,/*4H,,PHI,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,Brandon Marsh*,26.0,4,13.0,13.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0,3,0.077,0.077,0.077,0.154,1.0,0.0,0,0.0,0.0,0,*/87H,,PHI,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,Johan Rojas,23.0,3,6.0,5.0,0,1,0.0,0.0,0,0.0,1.0,0.0,1,1,0.2,0.333,0.2,0.533,1.0,0.0,0,0.0,0.0,0,*/8,,PHI,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,Kody Clemens*,28.0,4,5.0,5.0,0,2,1.0,0.0,0,1.0,0.0,0.0,0,2,0.4,0.4,0.6,1.0,3.0,0.0,0,0.0,0.0,0,/*H7,,PHI,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,Edmundo Sosa,28.0,2,5.0,4.0,1,1,0.0,0.0,0,0.0,0.0,0.0,0,2,0.25,0.4,0.25,0.65,1.0,0.0,1,0.0,0.0,0,/45,,PHI,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,Austin Hays,28.0,2,4.0,4.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,/7,,PHI,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,Weston Wilson,29.0,2,3.0,3.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,/7H,,PHI,,,,,,,,,,,,,,,,,,,,,,,
13,14.0,Aaron Nola,31.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
14,15.0,JosÃ© Ruiz,29.0,2,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
15,16.0,Cristopher SÃ¡nchez*,27.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
16,17.0,Orion Kerkering,23.0,4,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/*1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,Jeff Hoffman,31.0,3,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/*1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
18,19.0,Carlos EstÃ©vez,31.0,3,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/*1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
19,20.0,Matt Strahm,32.0,3,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/*1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
20,21.0,Ranger SuÃ¡rez*,28.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
21,22.0,Tanner Banks,32.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
22,23.0,Zack Wheeler*,34.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
23,24.0,JosÃ© Alvarado*,29.0,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,PHI,,,,,,,,,,,,,,,,,,,,,,,
24,,Team Totals,,4,149.0,129.0,12,24,4.0,1.0,3,11.0,3.0,1.0,16,38,0.186,0.295,0.302,0.598,39.0,1.0,4,0.0,0.0,0,,,PHI,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,Ozzie Albies#,27.0,2,8.0,8.0,0,1,0.0,0.0,0,0.0,1.0,0.0,0,4,0.125,0.125,0.125,0.25,1.0,0.0,0,0.0,0.0,0,/*4,,ATL,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,Jorge Soler,32.0,2,8.0,7.0,1,2,0.0,0.0,1,1.0,0.0,0.0,1,2,0.286,0.375,0.714,1.089,5.0,0.0,0,0.0,0.0,0,*/9,,ATL,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,Michael Harris II*,23.0,2,8.0,8.0,2,5,1.0,0.0,1,2.0,0.0,0.0,0,1,0.625,0.625,1.125,1.75,9.0,0.0,0,0.0,0.0,0,*/8,,ATL,,,,,,,,,,,,,,,,,,,,,,,
